gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
DDB_G0280123	76.91015	0.3388856	0.39999482	0.0502267	0.2930884
DDB_G0280125	1067.319	0.02850016	0.13888218	0.7331918	0.8756703
DDB_G0280127	152.3901	0.1394978	0.25567927	0.3138234	0.6024058
DDB_G0280129	18.55126	0.3749711	0.4147828	0.03606535	0.2550436
DDB_G0280131	3041.07	-0.2832003	0.2819231	0.07892016	0.350453
DDB_G0280133	2513.562	0.09583757	0.25865056	0.4811032	0.7241692
DDB_G0280135	1156.304	-0.4174669	0.38128609	0.02913588	0.2327764
DDB_G0280137	267.2623	-0.173916	0.21738283	0.1657663	0.4595263
DDB_G0280141	3289.646	-0.5596961	0.42710828	0.008492609	0.1314704
DDB_G0280143	569.0568	0.2498279	0.2987516	0.1193399	0.4079834
DDB_G0280145	1099.707	0.04229792	0.17076683	0.6766534	0.8458919
DDB_G0280147	309.1993	-0.01678589	0.13111964	0.8326821	0.926934
DDB_G0280149	67.88778	-0.2279333	0.2860601	0.1415666	0.4370977
DDB_G0280153	6.603714	0.08602241	0.34918592	0.4729583	NA
DDB_G0280155	44.39683	0.2285955	0.37431136	0.1281217	0.4164887
DDB_G0280157	216.8863	-0.7512219	0.3093846	0.0007089311	0.03915157
DDB_G0280159	1669.166	-0.134397	0.21611368	0.2750188	0.5689928
DDB_G0280161	181.2347	0.1737743	0.29630551	0.2447166	0.538899
DDB_G0280163	294.5144	0.09832721	0.18694479	0.3628554	0.6407254
DDB_G0280165	1574.448	0.1932674	0.22723465	0.1416942	0.4370977
DDB_G0280167	88.84365	-0.1442822	0.29368406	0.3198944	0.6072648
DDB_G0280171	5699.518	-0.06144574	0.16269825	0.5213261	0.752008
DDB_G0280173	116.2588	0.3546866	0.27014298	0.03457261	0.2518669
DDB_G0280175	844.0208	0.1039044	0.19205739	0.3481303	0.6296685
DDB_G0280177	6915.697	-0.114959	0.19673714	0.3095608	0.6003538
DDB_G0280179	134.7117	-0.07713225	0.18716056	0.478603	0.7220476
DDB_G0280181	2323.563	-0.1011512	0.33525452	0.4362498	0.6969613
DDB_G0280183	373.4872	-0.3078617	0.24396397	0.04351439	0.2738775
DDB_G0280185	206.153	0.2096202	0.31892485	0.1782765	0.4716776
DDB_G0280187	7548.44	-0.07567269	0.196525	0.5056457	0.7405816
DDB_G0280189	1466.639	-0.7182257	0.71752712	0.001982719	0.0655522
